Loan Number,Loan Officer,Primary Borrower,Co-Borrowers,Primary Borrower: Email,Co-Borrowers: Email,Subject Property: Address: 1,Subject Property: Address: State,Funding Date,Program,Total Loan Amount,Doc Signed Date,Interest Rate,Custom: PCL Loan Type,LTV,CLTV,DTI
3679XXX,Brad Overlin,Mock Borrower 235,,mock_235@example.com,mock_co_235@example.com,"7101 Mock St, City, WA 12345",WA,2/24/2022,C30,"$647,200.00",2/18/2022,3.375%,Conventional,57.270%,57.274%,0.000%
3696XXX,Brad Overlin,Mock Borrower 236,,mock_236@example.com,,"5634 Mock St, City, WA 12345",WA,2/14/2022,C30,"$547,500.00",2/8/2022,3.750%,Conventional,78.210%,78.214%,0.000%
3672XXX,Brad Overlin,Mock Borrower 237,,mock_237@example.com,,"9025 Mock St, City, WA 12345",WA,2/10/2022,C30,"$288,176.00",2/9/2022,2.875%,Conventional,82.340%,82.336%,0.000%
3674XXX,Brad Overlin,Mock Borrower 238,,mock_238@example.com,,"2673 Mock St, City, NV 12345",NV,2/8/2022,C30,"$350,000.00",2/2/2022,2.990%,Conventional,48.610%,48.611%,0.000%
3627XXX,Brad Overlin,Mock Borrower 239,,mock_239@example.com,mock_co_239@example.com,"8345 Mock St, City, WA 12345",WA,1/21/2022,C30,"$507,000.00",1/12/2022,2.990%,Conventional,40.560%,40.560%,0.000%
3678XXX,Brad Overlin,Mock Borrower 240,,mock_240@example.com,,"647 Mock St, City, WA 12345",WA,1/14/2022,WSHFC Advantage 2nd Lien ,"$14,938.00",1/13/2022,0.000%,Conventional,0.000%,100.880%,0.000%
3667XXX,Brad Overlin,Mock Borrower 241,,mock_241@example.com,,"2488 Mock St, City, WA 12345",WA,1/14/2022,WSHFC HFA Preferred (Conv.) w/ Adv DPA,"$373,450.00",1/13/2022,5.125%,Conventional,97.000%,100.880%,0.000%
3502XXX,Brad Overlin,Mock Borrower 242,,mock_242@example.com,mock_co_242@example.com,"6552 Mock St, City, WA 12345",WA,1/14/2022,J 30 Diamond Express,"$977,500.00",1/10/2022,2.875%,Conventional,85.000%,85.000%,0.000%
3656XXX,Brad Overlin,Mock Borrower 243,,mock_243@example.com,mock_co_243@example.com,"801 Mock St, City, TX 12345",TX,1/12/2022,C30,"$401,250.00",1/12/2022,3.437%,Conventional,75.000%,75.000%,0.000%
3651XXX,Brad Overlin,Mock Borrower 244,,mock_244@example.com,,"3379 Mock St, City, WA 12345",WA,1/7/2022,J 30 Jade Select RSU Income,"$945,000.00",1/5/2022,3.125%,Conventional,70.000%,70.000%,0.000%
3627XXX,Brad Overlin,Mock Borrower 245,,mock_245@example.com,mock_co_245@example.com,"5738 Mock St, City, WA 12345",WA,12/30/2021,J 30 Preferred Express,"$945,000.00",12/28/2021,4.000%,Conventional,90.000%,90.000%,0.000%
3592XXX,Brad Overlin,Mock Borrower 246,,mock_246@example.com,mock_co_246@example.com,"9596 Mock St, City, WA 12345",WA,12/28/2021,WSHFC HFA Preferred (Conv.) w/ Adv DPA,"$518,950.00",12/27/2021,4.250%,Conventional,97.000%,100.880%,0.000%
3645XXX,Brad Overlin,Mock Borrower 247,,mock_247@example.com,mock_co_247@example.com,"7062 Mock St, City, WA 12345",WA,12/28/2021,WSHFC Advantage 2nd Lien ,"$20,758.00",12/27/2021,0.000%,Conventional,0.000%,100.880%,0.000%
3622XXX,Brad Overlin,Mock Borrower 248,,mock_248@example.com,,"9815 Mock St, City, AZ 12345",AZ,12/23/2021,C30,"$405,000.00",12/22/2021,3.250%,Conventional,90.000%,90.000%,0.000%
3646XXX,Brad Overlin,Mock Borrower 249,,mock_249@example.com,,"7315 Mock St, City, WA 12345",WA,12/23/2021,J 30 Preferred Express,"$1,428,000.00",12/22/2021,4.250%,Conventional,85.000%,85.000%,0.000%
3489XXX,Brad Overlin,Mock Borrower 250,,mock_250@example.com,,"4488 Mock St, City, FL 12345",FL,12/20/2021,C30,"$350,870.00",12/17/2021,2.990%,Conventional,89.990%,89.990%,0.000%
3317XXX,Brad Overlin,Mock Borrower 251,,mock_251@example.com,,"5141 Mock St, City, AZ 12345",AZ,12/17/2021,C30,"$429,250.00",12/11/2021,3.990%,Conventional,85.000%,85.000%,0.000%
3650XXX,Brad Overlin,Mock Borrower 252,,mock_252@example.com,,"7739 Mock St, City, WA 12345",WA,12/15/2021,WSHFC Opportunity 2nd Lien ,"$15,000.00",12/8/2021,1.000%,Conventional,0.000%,100.979%,0.000%
3648XXX,Brad Overlin,Mock Borrower 253,,mock_253@example.com,,"4170 Mock St, City, WA 12345",WA,12/15/2021,WSHFC House Key (Conv.) with Opportunity DPA,"$365,690.00",12/8/2021,3.250%,Conventional,97.000%,100.979%,0.000%
3620XXX,Brad Overlin,Mock Borrower 254,,mock_254@example.com,mock_co_254@example.com,"4806 Mock St, City, WA 12345",WA,12/15/2021,VA 30 HB,"$1,169,280.00",12/6/2021,2.375%,VA,81.200%,81.200%,0.000%
3640XXX,Brad Overlin,Mock Borrower 255,,mock_255@example.com,,"6036 Mock St, City, WA 12345",WA,12/9/2021,C 30 HB,"$641,250.00",12/3/2021,3.250%,Conventional,95.000%,95.000%,0.000%
3633XXX,Brad Overlin,Mock Borrower 256,,mock_256@example.com,,"6247 Mock St, City, WA 12345",WA,12/7/2021,C 30 HB,"$648,000.00",12/2/2021,4.000%,Conventional,68.210%,68.210%,0.000%
3646XXX,Brad Overlin,Mock Borrower 257,,mock_257@example.com,mock_co_257@example.com,"794 Mock St, City, WA 12345",WA,11/30/2021,C 30 HB,"$732,000.00",11/29/2021,3.250%,Conventional,80.000%,80.000%,0.000%
3614XXX,Brad Overlin,Mock Borrower 258,,mock_258@example.com,mock_co_258@example.com,"6732 Mock St, City, WA 12345",WA,12/1/2021,C30,"$404,625.00",11/29/2021,3.312%,Conventional,89.920%,89.917%,0.000%
3633XXX,Brad Overlin,Mock Borrower 259,,mock_259@example.com,,"6698 Mock St, City, WA 12345",WA,11/29/2021,C30,"$521,329.00",11/19/2021,2.937%,Conventional,90.670%,90.666%,0.000%
3640XXX,Brad Overlin,Mock Borrower 260,,mock_260@example.com,mock_co_260@example.com,"4316 Mock St, City, WA 12345",WA,11/29/2021,C30,"$415,000.00",11/23/2021,3.125%,Conventional,71.550%,71.552%,0.000%
3513XXX,Brad Overlin,Mock Borrower 261,,mock_261@example.com,,"6343 Mock St, City, FL 12345",FL,11/19/2021,VA 30,"$382,278.00",11/16/2021,3.250%,VA,83.960%,83.964%,-100.000%
3617XXX,Brad Overlin,Mock Borrower 262,,mock_262@example.com,mock_co_262@example.com,"1418 Mock St, City, OR 12345",OR,11/15/2021,VA 30 HB,"$603,000.00",11/5/2021,3.000%,VA,90.000%,90.000%,0.000%
3623XXX,Brad Overlin,Mock Borrower 263,,mock_263@example.com,mock_co_263@example.com,"8226 Mock St, City, TX 12345",TX,11/8/2021,J 30 Preferred Express,"$586,800.00",11/8/2021,3.000%,Conventional,60.000%,60.000%,0.000%
3352XXX,Brad Overlin,Mock Borrower 264,,mock_264@example.com,mock_co_264@example.com,"378 Mock St, City, WA 12345",WA,11/5/2021,C 30 HB,"$554,157.00",11/4/2021,3.250%,Conventional,85.250%,85.255%,0.000%
3619XXX,Brad Overlin,Mock Borrower 265,,mock_265@example.com,mock_co_265@example.com,"783 Mock St, City, WA 12345",WA,11/4/2021,C15,"$208,000.00",10/28/2021,2.375%,Conventional,20.800%,20.800%,0.000%
3599XXX,Brad Overlin,Mock Borrower 266,,mock_266@example.com,mock_co_266@example.com,"324 Mock St, City, WA 12345",WA,11/1/2021,C30,"$427,300.00",10/25/2021,3.125%,Conventional,69.140%,69.142%,0.000%
3558XXX,Brad Overlin,Mock Borrower 267,,mock_267@example.com,mock_co_267@example.com,"3479 Mock St, City, WA 12345",WA,11/2/2021,J 30 Gold,"$1,120,000.00",10/29/2021,2.950%,Conventional,80.000%,80.000%,0.000%
3600XXX,Brad Overlin,Mock Borrower 268,,mock_268@example.com,mock_co_268@example.com,"8691 Mock St, City, AZ 12345",AZ,10/29/2021,C30,"$329,500.00",10/27/2021,2.875%,Conventional,66.840%,66.836%,0.000%
3516XXX,Brad Overlin,Mock Borrower 269,,mock_269@example.com,mock_co_269@example.com,"728 Mock St, City, WA 12345",WA,10/25/2021,C 30 HB,"$726,408.00",10/19/2021,3.375%,Conventional,90.800%,90.801%,0.000%
3420XXX,Brad Overlin,Mock Borrower 270,,mock_270@example.com,mock_co_270@example.com,"2701 Mock St, City, WA 12345",WA,10/21/2021,C 30 HB,"$776,222.00",10/20/2021,2.625%,Conventional,90.260%,90.258%,0.000%
3571XXX,Brad Overlin,Mock Borrower 271,,mock_271@example.com,,"2260 Mock St, City, WA 12345",WA,10/29/2021,FHA 30,"$515,490.00",10/26/2021,3.625%,FHA,96.500%,96.500%,0.000%
3598XXX,Brad Overlin,Mock Borrower 272,,mock_272@example.com,,"341 Mock St, City, WA 12345",WA,10/14/2021,C30,"$415,661.00",10/9/2021,2.625%,Conventional,83.300%,83.299%,0.000%
3317XXX,Brad Overlin,Mock Borrower 273,,mock_273@example.com,,"6322 Mock St, City, WA 12345",WA,10/12/2021,C 30 HB,"$667,250.00",10/4/2021,2.750%,Conventional,85.000%,85.000%,0.000%
3555XXX,Brad Overlin,Mock Borrower 274,,mock_274@example.com,mock_co_274@example.com,"5516 Mock St, City, WA 12345",WA,10/1/2021,J 30 Preferred Express,"$1,188,000.00",9/30/2021,2.375%,Conventional,90.000%,90.000%,0.000%
3611XXX,Brad Overlin,Mock Borrower 275,,mock_275@example.com,,"3329 Mock St, City, OR 12345",OR,10/4/2021,J 30 Preferred Express,"$738,000.00",10/1/2021,3.375%,Conventional,90.000%,90.000%,0.000%
3592XXX,Brad Overlin,Mock Borrower 276,,mock_276@example.com,,"522 Mock St, City, WA 12345",WA,9/29/2021,J 30 Gold,"$868,000.00",9/28/2021,2.750%,Conventional,80.000%,80.000%,0.000%
3600XXX,Brad Overlin,Mock Borrower 277,,mock_277@example.com,,"9339 Mock St, City, WA 12345",WA,9/30/2021,VA 30 HB,"$598,000.00",9/28/2021,3.250%,VA,100.000%,100.000%,0.000%
3571XXX,Brad Overlin,Mock Borrower 278,,mock_278@example.com,,"8548 Mock St, City, WA 12345",WA,9/30/2021,C30,"$548,250.00",9/25/2021,2.875%,Conventional,54.830%,54.825%,0.000%
3362XXX,Brad Overlin,Mock Borrower 279,,mock_279@example.com,mock_co_279@example.com,"6091 Mock St, City, WA 12345",WA,9/24/2021,WSHFC Home Adv (FHA) w ADV DPA (DTI),"$434,066.00",9/15/2021,3.500%,FHA,96.500%,100.427%,0.000%
3423XXX,Brad Overlin,Mock Borrower 280,,mock_280@example.com,mock_co_280@example.com,"427 Mock St, City, WA 12345",WA,9/24/2021,WSHFC Advantage 2nd Lien w GVT 1st (DTI),"$17,362.00",9/15/2021,0.000%,Conventional,0.000%,102.597%,0.000%
3594XXX,Brad Overlin,Mock Borrower 281,,mock_281@example.com,mock_co_281@example.com,"3031 Mock St, City, WA 12345",WA,9/23/2021,C 30 HB,"$584,725.00",9/20/2021,3.250%,Conventional,95.000%,95.000%,0.000%
3582XXX,Brad Overlin,Mock Borrower 282,,mock_282@example.com,mock_co_282@example.com,"3294 Mock St, City, WA 12345",WA,9/20/2021,J 30 Diamond Express,"$1,542,750.00",9/16/2021,3.125%,Conventional,85.000%,85.000%,0.000%
3594XXX,Brad Overlin,Mock Borrower 283,,mock_283@example.com,mock_co_283@example.com,"2203 Mock St, City, NV 12345",NV,9/17/2021,C30,"$134,999.00",9/15/2021,3.990%,Conventional,90.000%,90.000%,0.000%
3566XXX,Brad Overlin,Mock Borrower 284,,mock_284@example.com,mock_co_284@example.com,"3828 Mock St, City, WA 12345",WA,9/15/2021,C30,"$465,000.00",9/10/2021,3.437%,Conventional,75.000%,75.000%,0.000%
3564XXX,Brad Overlin,Mock Borrower 285,,mock_285@example.com,,"9055 Mock St, City, WA 12345",WA,9/8/2021,FHA 30 HB,"$589,132.00",9/7/2021,3.250%,FHA,96.500%,96.500%,0.000%
3558XXX,Brad Overlin,Mock Borrower 286,,mock_286@example.com,mock_co_286@example.com,"7499 Mock St, City, WA 12345",WA,9/8/2021,C 30 HB,"$664,000.00",9/2/2021,2.750%,Conventional,72.410%,72.410%,0.000%
3367XXX,Brad Overlin,Mock Borrower 287,,mock_287@example.com,mock_co_287@example.com,"6577 Mock St, City, WA 12345",WA,9/3/2021,C30,"$400,000.00",8/14/2021,2.937%,Conventional,80.000%,80.000%,0.000%
3564XXX,Brad Overlin,Mock Borrower 288,,mock_288@example.com,mock_co_288@example.com,"138 Mock St, City, WA 12345",WA,9/2/2021,C30,"$360,000.00",9/1/2021,2.937%,Conventional,80.000%,80.000%,0.000%
3585XXX,Brad Overlin,Mock Borrower 289,,mock_289@example.com,,"9598 Mock St, City, WA 12345",WA,9/3/2021,J 30 Preferred Express,"$1,350,000.00",9/2/2021,2.875%,Conventional,75.000%,75.000%,0.000%
3488XXX,Brad Overlin,Mock Borrower 290,,mock_290@example.com,mock_co_290@example.com,"5730 Mock St, City, WA 12345",WA,9/3/2021,C 30 HB,"$719,625.00",8/31/2021,3.250%,Conventional,95.000%,95.000%,0.000%
3575XXX,Brad Overlin,Mock Borrower 291,,mock_291@example.com,,"7015 Mock St, City, WA 12345",WA,8/30/2021,J 30 Preferred Express,"$1,260,000.00",8/27/2021,3.000%,Conventional,80.000%,80.000%,0.000%
3485XXX,Brad Overlin,Mock Borrower 292,,mock_292@example.com,,"7397 Mock St, City, WA 12345",WA,8/31/2021,C 30 HB,"$736,250.00",8/25/2021,2.990%,Conventional,95.000%,95.000%,0.000%
3530XXX,Brad Overlin,Mock Borrower 293,,mock_293@example.com,mock_co_293@example.com,"9135 Mock St, City, WA 12345",WA,8/26/2021,J 30 Preferred Express,"$607,725.00",8/24/2021,2.500%,Conventional,83.250%,83.250%,0.000%
3442XXX,Brad Overlin,Mock Borrower 294,,mock_294@example.com,,"9721 Mock St, City, WA 12345",WA,8/20/2021,XL C30,"$427,500.00",8/11/2021,3.375%,Conventional,95.000%,95.000%,0.000%
3434XXX,Brad Overlin,Mock Borrower 295,,mock_295@example.com,mock_co_295@example.com,"7608 Mock St, City, WA 12345",WA,8/16/2021,C 30 HB,"$595,000.00",8/10/2021,2.875%,Conventional,74.840%,74.843%,0.000%
3493XXX,Brad Overlin,Mock Borrower 296,,mock_296@example.com,,"5528 Mock St, City, WA 12345",WA,8/5/2021,C 30 HB,"$665,000.00",8/2/2021,2.875%,Conventional,70.000%,70.000%,0.000%
3467XXX,Brad Overlin,Mock Borrower 297,,mock_297@example.com,mock_co_297@example.com,"6977 Mock St, City, WA 12345",WA,8/3/2021,J 30 Amber Express,"$1,596,000.00",7/27/2021,2.875%,Conventional,80.000%,80.000%,0.000%
3515XXX,Brad Overlin,Mock Borrower 298,,mock_298@example.com,,"761 Mock St, City, WA 12345",WA,8/3/2021,C30,"$336,000.00",8/2/2021,2.875%,Conventional,80.000%,80.000%,0.000%
3474XXX,Brad Overlin,Mock Borrower 299,,mock_299@example.com,,"5174 Mock St, City, WA 12345",WA,5/28/2021,C 30 HB,"$675,000.00",5/26/2021,2.500%,Conventional,46.550%,46.552%,0.000%
3348XXX,Brad Overlin,Mock Borrower 300,,mock_300@example.com,,"4494 Mock St, City, WA 12345",WA,5/28/2021,C30,"$535,500.00",5/27/2021,2.990%,Conventional,63.000%,63.000%,0.000%
3372XXX,Brad Overlin,Mock Borrower 301,,mock_301@example.com,,"1476 Mock St, City, WA 12345",WA,5/24/2021,FHA 30 HB,"$789,834.00",5/24/2021,3.375%,FHA,86.250%,86.250%,0.000%
3433XXX,Brad Overlin,Mock Borrower 302,,mock_302@example.com,mock_co_302@example.com,"3093 Mock St, City, WA 12345",WA,5/24/2021,C30,"$162,000.00",5/19/2021,3.187%,Conventional,24.000%,24.000%,0.000%
3452XXX,Brad Overlin,Mock Borrower 303,,mock_303@example.com,,"2666 Mock St, City, WA 12345",WA,5/21/2021,Manufactured Housing C30,"$355,000.00",5/20/2021,3.437%,Conventional,65.200%,65.197%,0.000%
3424XXX,Brad Overlin,Mock Borrower 304,,mock_304@example.com,,"5894 Mock St, City, WA 12345",WA,5/5/2021,HomeReady 30,"$266,736.00",5/4/2021,3.250%,Conventional,96.990%,96.995%,0.000%
3435XXX,Brad Overlin,Mock Borrower 305,,mock_305@example.com,mock_co_305@example.com,"5615 Mock St, City, WA 12345",WA,4/26/2021,WSHFC HFA Preferred (Conv.) w/ Adv DPA,"$426,315.00",4/22/2021,4.375%,Conventional,97.000%,100.880%,0.000%
3459XXX,Brad Overlin,Mock Borrower 306,,mock_306@example.com,,"4864 Mock St, City, WA 12345",WA,4/30/2021,C30,"$403,750.00",4/29/2021,3.187%,Conventional,95.000%,95.000%,0.000%
3443XXX,Brad Overlin,Mock Borrower 307,,mock_307@example.com,mock_co_307@example.com,"591 Mock St, City, WA 12345",WA,4/26/2021,WSHFC Advantage 2nd Lien ,"$17,052.00",4/22/2021,0.000%,Conventional,0.000%,100.880%,0.000%
3440XXX,Brad Overlin,Mock Borrower 308,,mock_308@example.com,,"5365 Mock St, City, CA 12345",CA,4/29/2021,C30,"$201,500.00",4/24/2021,3.187%,Conventional,44.780%,44.778%,0.000%
3358XXX,Brad Overlin,Mock Borrower 309,,mock_309@example.com,,"269 Mock St, City, WA 12345",WA,4/29/2021,C30,"$548,250.00",4/28/2021,3.187%,Conventional,83.700%,83.702%,0.000%
3440XXX,Brad Overlin,Mock Borrower 310,,mock_310@example.com,mock_co_310@example.com,"7696 Mock St, City, WA 12345",WA,5/7/2021,C20,"$205,000.00",5/3/2021,3.000%,Conventional,41.840%,41.837%,0.000%
3438XXX,Brad Overlin,Mock Borrower 311,,mock_311@example.com,mock_co_311@example.com,"3605 Mock St, City, WA 12345",WA,4/20/2021,J 30 Gold,"$1,991,200.00",4/19/2021,2.975%,Conventional,80.000%,80.000%,0.000%
3447XXX,Brad Overlin,Mock Borrower 312,,mock_312@example.com,mock_co_312@example.com,"6917 Mock St, City, WA 12345",WA,4/21/2021,C 30 HB,"$776,250.00",4/16/2021,3.500%,Conventional,69.930%,89.932%,0.000%
3369XXX,Brad Overlin,Mock Borrower 313,,mock_313@example.com,mock_co_313@example.com,"7037 Mock St, City, WA 12345",WA,4/20/2021,C 30 HB,"$776,250.00",4/16/2021,3.500%,Conventional,67.500%,89.935%,0.000%
3477XXX,Brad Overlin,Mock Borrower 314,,mock_314@example.com,mock_co_314@example.com,"8119 Mock St, City, WA 12345",WA,5/25/2021,FHA 30 HB,"$687,321.00",5/24/2021,3.000%,FHA,96.500%,96.500%,0.000%
3405XXX,Brad Overlin,Mock Borrower 315,,mock_315@example.com,,"2582 Mock St, City, WA 12345",WA,3/15/2021,C30,"$548,250.00",3/12/2021,2.687%,Conventional,59.270%,59.270%,0.000%
3419XXX,Brad Overlin,Mock Borrower 316,,mock_316@example.com,mock_co_316@example.com,"9813 Mock St, City, WA 12345",WA,4/15/2021,C30,"$435,196.00",4/14/2021,3.187%,Conventional,90.670%,90.666%,0.000%
3415XXX,Brad Overlin,Mock Borrower 317,,mock_317@example.com,mock_co_317@example.com,"2910 Mock St, City, CA 12345",CA,4/12/2021,C15,"$209,000.00",4/8/2021,2.500%,Conventional,55.730%,55.733%,0.000%
3402XXX,Brad Overlin,Mock Borrower 318,,mock_318@example.com,,"7531 Mock St, City, TX 12345",TX,4/6/2021,C30,"$124,000.00",4/5/2021,3.562%,Conventional,70.860%,70.857%,0.000%
3431XXX,Brad Overlin,Mock Borrower 319,,mock_319@example.com,mock_co_319@example.com,"7919 Mock St, City, WA 12345",WA,4/6/2021,C30,"$343,200.00",4/5/2021,4.500%,Conventional,80.000%,80.000%,0.000%
3422XXX,Brad Overlin,Mock Borrower 320,,mock_320@example.com,mock_co_320@example.com,"7932 Mock St, City, TX 12345",TX,4/7/2021,C30,"$470,000.00",4/7/2021,3.062%,Conventional,53.410%,53.409%,0.000%
3465XXX,Brad Overlin,Mock Borrower 321,,mock_321@example.com,mock_co_321@example.com,"2817 Mock St, City, WA 12345",WA,5/7/2021,C30,"$358,000.00",5/3/2021,2.990%,Conventional,51.140%,51.143%,0.000%
3299XXX,Brad Overlin,Mock Borrower 322,,mock_322@example.com,mock_co_322@example.com,"802 Mock St, City, WA 12345",WA,4/7/2021,C 30 HB,"$735,300.00",4/1/2021,3.250%,Conventional,60.000%,79.584%,0.000%
3466XXX,Brad Overlin,Mock Borrower 323,,mock_323@example.com,,"5579 Mock St, City, WA 12345",WA,5/28/2021,C 30 HB,"$598,495.00",5/26/2021,3.125%,Conventional,95.000%,95.000%,0.000%
3429XXX,Brad Overlin,Mock Borrower 324,,mock_324@example.com,,"7271 Mock St, City, WA 12345",WA,4/7/2021,C 30 HB,"$710,164.00",4/5/2021,3.500%,Conventional,80.000%,86.759%,0.000%
3408XXX,Brad Overlin,Mock Borrower 325,,mock_325@example.com,mock_co_325@example.com,"1847 Mock St, City, WA 12345",WA,4/7/2021,C 30 HB,"$776,250.00",4/1/2021,3.250%,Conventional,73.930%,89.976%,0.000%
3362XXX,Brad Overlin,Mock Borrower 326,,mock_326@example.com,mock_co_326@example.com,"3495 Mock St, City, WA 12345",WA,4/2/2021,C30,"$459,000.00",3/29/2021,2.562%,Conventional,69.550%,69.546%,0.000%
3044XXX,Brad Overlin,Mock Borrower 327,,mock_327@example.com,,"1110 Mock St, City, AZ 12345",AZ,4/2/2021,C30,"$307,300.00",3/25/2021,2.562%,Conventional,74.230%,74.227%,0.000%
3393XXX,Brad Overlin,Mock Borrower 328,,mock_328@example.com,mock_co_328@example.com,"7062 Mock St, City, WA 12345",WA,3/19/2021,C30,"$428,400.00",3/15/2021,2.812%,Conventional,60.000%,60.000%,0.000%
3400XXX,Brad Overlin,Mock Borrower 329,,mock_329@example.com,mock_co_329@example.com,"9735 Mock St, City, WA 12345",WA,3/15/2021,C30,"$236,250.00",3/8/2021,3.250%,Conventional,75.000%,75.000%,0.000%
3409XXX,Brad Overlin,Mock Borrower 330,,mock_330@example.com,,"5073 Mock St, City, WA 12345",WA,4/1/2021,HomeReady 30,"$254,116.00",3/26/2021,2.875%,Conventional,89.160%,89.163%,0.000%
3365XXX,Brad Overlin,Mock Borrower 331,,mock_331@example.com,mock_co_331@example.com,"849 Mock St, City, WA 12345",WA,3/29/2021,VA IRRRL 30 HB,"$582,600.00",3/23/2021,2.875%,VA,89.530%,89.528%,0.000%
3394XXX,Brad Overlin,Mock Borrower 332,,mock_332@example.com,mock_co_332@example.com,"4677 Mock St, City, WA 12345",WA,3/17/2021,C30,"$394,500.00",3/12/2021,2.625%,Conventional,66.300%,66.302%,0.000%
3388XXX,Brad Overlin,Mock Borrower 333,,mock_333@example.com,mock_co_333@example.com,"5648 Mock St, City, WA 12345",WA,3/19/2021,VA IRRRL 30 HB,"$749,194.00",3/10/2021,2.500%,VA,94.480%,94.483%,0.000%
3020XXX,Brad Overlin,Mock Borrower 334,,mock_334@example.com,mock_co_334@example.com,"6444 Mock St, City, WA 12345",WA,2/10/2020,J 30 Tanzanite,"$781,600.00",2/10/2020,3.875%,Conventional,80.000%,80.000%,0.000%
3400XXX,Brad Overlin,Mock Borrower 335,,mock_335@example.com,mock_co_335@example.com,"4596 Mock St, City, WA 12345",WA,3/2/2021,C30,"$346,000.00",2/25/2021,2.990%,Conventional,79.540%,79.540%,0.000%
3374XXX,Brad Overlin,Mock Borrower 336,,mock_336@example.com,mock_co_336@example.com,"7556 Mock St, City, WA 12345",WA,3/19/2021,WSHFC Home Adv (FHA) w ADV DPA (DTI),"$638,226.00",3/18/2021,3.375%,FHA,96.500%,100.428%,0.000%
3379XXX,Brad Overlin,Mock Borrower 337,,mock_337@example.com,mock_co_337@example.com,"7399 Mock St, City, AZ 12345",AZ,3/3/2021,C30,"$176,000.00",3/2/2021,2.812%,Conventional,80.000%,80.000%,0.000%
3365XXX,Brad Overlin,Mock Borrower 338,,mock_338@example.com,,"719 Mock St, City, WA 12345",WA,3/12/2021,HomeReady 30,"$295,000.00",3/8/2021,2.500%,Conventional,74.870%,74.873%,0.000%
3104XXX,Brad Overlin,Mock Borrower 339,,mock_339@example.com,mock_co_339@example.com,"5905 Mock St, City, WA 12345",WA,3/16/2021,C30,"$399,037.00",3/8/2021,2.812%,Conventional,84.010%,84.008%,0.000%
3436XXX,Brad Overlin,Mock Borrower 340,,mock_340@example.com,,"7401 Mock St, City, OR 12345",OR,5/19/2021,C30,"$548,250.00",5/14/2021,2.937%,Conventional,72.140%,89.967%,0.000%
3360XXX,Brad Overlin,Mock Borrower 341,,mock_341@example.com,,"5791 Mock St, City, WA 12345",WA,3/11/2021,C30,"$188,500.00",3/6/2021,2.312%,Conventional,18.850%,18.850%,0.000%
3369XXX,Brad Overlin,Mock Borrower 342,,mock_342@example.com,mock_co_342@example.com,"288 Mock St, City, WA 12345",WA,3/1/2021,C30,"$416,070.00",2/23/2021,2.750%,Conventional,94.990%,94.993%,0.000%
3426XXX,Brad Overlin,Mock Borrower 343,,mock_343@example.com,,"6996 Mock St, City, WA 12345",WA,5/17/2021,J 30 Diamond,"$1,479,000.00",5/11/2021,2.750%,Conventional,78.010%,78.006%,0.000%
3360XXX,Brad Overlin,Mock Borrower 344,,mock_344@example.com,,"4931 Mock St, City, WA 12345",WA,2/1/2021,C30,"$691,500.00",1/28/2021,2.937%,Conventional,75.000%,75.000%,0.000%
3365XXX,Brad Overlin,Mock Borrower 345,,mock_345@example.com,mock_co_345@example.com,"7344 Mock St, City, WA 12345",WA,2/22/2021,HomeReady 30,"$324,933.00",2/17/2021,2.750%,Conventional,96.990%,96.995%,0.000%
3362XXX,Brad Overlin,Mock Borrower 346,,mock_346@example.com,mock_co_346@example.com,"2982 Mock St, City, WA 12345",WA,2/22/2021,C 30 HB,"$650,586.00",2/17/2021,2.750%,Conventional,79.730%,79.729%,0.000%
3331XXX,Brad Overlin,Mock Borrower 347,,mock_347@example.com,mock_co_347@example.com,"4360 Mock St, City, WA 12345",WA,1/26/2021,C 30 HB,"$588,300.00",1/19/2021,2.875%,Conventional,73.540%,73.537%,0.000%
3415XXX,Brad Overlin,Mock Borrower 348,,mock_348@example.com,mock_co_348@example.com,"6853 Mock St, City, WA 12345",WA,3/19/2021,WSHFC Advantage 2nd Lien w GVT 1st (DTI),"$25,529.00",3/18/2021,0.000%,Conventional,0.000%,102.116%,0.000%
3367XXX,Brad Overlin,Mock Borrower 349,,mock_349@example.com,mock_co_349@example.com,"1546 Mock St, City, WA 12345",WA,2/9/2021,WSHFC Advantage 2nd Lien w GVT 1st (DTI),"$15,513.00",2/8/2021,0.000%,Conventional,0.000%,102.116%,0.000%
3258XXX,Brad Overlin,Mock Borrower 350,,mock_350@example.com,mock_co_350@example.com,"3768 Mock St, City, CA 12345",CA,2/12/2021,FHA 30 HB,"$697,140.00",2/10/2021,3.000%,FHA,96.500%,96.500%,0.000%
3342XXX,Brad Overlin,Mock Borrower 351,,mock_351@example.com,,"4463 Mock St, City, TX 12345",TX,2/5/2021,C30,"$548,250.00",2/5/2021,2.625%,Conventional,89.030%,89.030%,0.000%
3335XXX,Brad Overlin,Mock Borrower 352,,mock_352@example.com,,"2921 Mock St, City, WA 12345",WA,2/16/2021,HomeReady 30,"$309,519.00",2/9/2021,2.250%,Conventional,91.030%,91.035%,0.000%
3329XXX,Brad Overlin,Mock Borrower 353,,mock_353@example.com,mock_co_353@example.com,"4227 Mock St, City, WA 12345",WA,2/9/2021,WSHFC Home Adv (FHA) w ADV DPA (DTI),"$387,845.00",2/8/2021,2.875%,FHA,96.500%,100.427%,0.000%
